Body ID,Body,Product Name,Product Type,Horizontal Accuracy,Vertical Accuracy,Resolution,Coverage,Status,Offline Formats,Online Formats,Source/Producer,Data Provider,References
701,Ariel,Control Network,Geodetic Coordinate Reference Frame (or Proxy),?,?,N/A,25% - 45%,Current,['ASCII'],?,RAND.,USGS,['Davies:1987icarus']
701,Ariel,Airbrush Mosaic,Controlled Unrectified Mosaic,?,?,?,25% - 45%,Current,['PDF'],?,USGS,USGS,['USGS:1988']
701,Ariel,Controlled Unrectified Images,Controlled Unrectified Images,?,?,?,25% - 45%,Current,['IMQ'],?,USGS,USGS,['Davies:1987icarus']
701,Ariel,Stereoscopically Derived Topography,Elevation,?,?,?,25% - 45%,Unreleased,['?'],?,Schenk et al.,Unreleased,['Schenk:2008isprs']
702,Umbriel,Control Network,Geodetic Coordinate Reference Frame (or Proxy),?,?,N/A,25% - 45%,Current,['ASCII'],?,RAND.,USGS,['Davies:1987icarus']
702,Umbriel,Airbrush Mosaic,Controlled Unrectified Mosaic,?,?,?,25% - 45%,Current,['PDF'],?,USGS,USGS,['USGS:1988']
702,Umbriel,Controlled Unrectified Images,Controlled Unrectified Images,?,?,?,25% - 45%,Current,['IMQ'],?,USGS,USGS,['Davies:1987icarus']
703,Titania,Control Network,Geodetic Coordinate Reference Frame (or Proxy),?,?,N/A,25% - 45%,Current,['ASCII'],?,RAND.,USGS,['Davies:1987icarus']
703,Titania,Airbrush Mosaic,Controlled Unrectified Mosaic,?,?,?,25% - 45%,Current,['PDF'],?,USGS,USGS,['USGS:1988']
703,Titania,Controlled Unrectified Images,Controlled Unrectified Images,?,?,?,25% - 45%,Current,['IMQ'],?,USGS,USGS,['Davies:1987icarus']
703,Titania,Stereoscopically Derived Topography,Elevation,?,?,?,25% - 45%,Unreleased,['?'],?,Schenk et al.,Unreleased,['Schenk:2008isprs']
704,Oberon,Control Network,Geodetic Coordinate Reference Frame (or Proxy),?,?,N/A,25% - 45%,Current,['ASCII'],?,RAND.,USGS,['Davies:1987icarus']
704,Oberon,Airbrush Mosaic,Controlled Unrectified Mosaic,?,?,?,25% - 45%,Current,['PDF'],?,USGS,USGS,['USGS:1988']
704,Oberon,Controlled Unrectified Images,Controlled Unrectified Images,?,?,?,25% - 45%,Current,['IMQ'],?,USGS,USGS,['Davies:1987icarus']
705,Miranda,Control Network,Geodetic Coordinate Reference Frame (or Proxy),?,?,N/A,25% - 45%,Current,['ASCII'],?,RAND.,USGS,['Davies:1987icarus']
705,Miranda,Airbrush Mosaic,Controlled Unrectified Mosaic,?,?,?,25% - 45%,Current,['PDF'],?,USGS,USGS,['USGS:1988']
705,Miranda,Controlled Unrectified Images,Controlled Unrectified Images,?,?,?,25% - 45%,Current,['IMQ'],?,USGS,USGS,['Davies:1987icarus']
705,Miranda,Stereoscopically Derived Topography,Elevation,?,?,?,25% - 45%,Unreleased,['?'],?,Schenk et al.,Unreleased,['Schenk:2008isprs']
